instance_id,source_row_1_based,org,dest,days,level,people_number,budget,local_constraint,constraint_signature,reference_size_quartile,reference_chars,reference_items,query
travelplanner_test_0009,9,Charleston,New York,3,easy,1,1700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,14561,73,"Please create a 3-day travel plan starting from Charleston to New York. The planned dates of travel are from March 17th to March 19th, 2022, with a travel budget of $1,700."
travelplanner_test_0017,17,Lihue,San Francisco,3,easy,1,2300,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,12656,65,"Could you help me arrange a 3-day trip for one person, which starts in Lihue and ends in San Francisco, from March 27th to March 29th, 2022? I have a budget of $2,300 for this trip."
travelplanner_test_0021,21,Savannah,Newark,3,easy,1,800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,15849,81,"Please provide a travel plan departing from Savannah and heading to Newark for 3 days, from March 23rd to March 25th, 2022, with a budget of $800."
travelplanner_test_0037,37,Atlanta,Bozeman,3,easy,1,1900,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,12680,66,"Could you help create a travel plan that starts in Atlanta and ends in Bozeman, taking place over 3 days from March 25th to March 27th, 2022? The travel budget at hand is $1,900."
travelplanner_test_0040,40,Moline,Dallas,3,easy,1,1600,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,20192,113,"Could you help organize a travel plan from Moline to Dallas for the duration of 3 days, specifically from March 25th to March 27th, 2022? This travel plan is intended for a single individual and should operate within a budget of $1,600."
travelplanner_test_0068,68,Panama City,Chicago,3,easy,1,1800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,12731,65,"Please help me with a travel plan that departs from Panama City to Chicago for a duration of three days from March 12th to March 14th, 2022. I am looking for the plan to be designed for one individual with a budget of $1,800."
travelplanner_test_0083,83,Washington,Montgomery,3,easy,1,500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,14246,75,"Kindly create a travel plan starting from Washington and heading towards Montgomery for a period of 3 days from March 2nd to March 4th, 2022. The travel plan has a budget of $500."
travelplanner_test_0088,88,Sacramento,Minneapolis,3,easy,1,1900,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,15476,80,"Could you create a travel itinerary for me starting in Sacramento and heading to Minneapolis? This trip should be 3 days long, from March 7th to March 9th, 2022 with a budget of $1,900."
travelplanner_test_0089,89,Chicago,Sacramento,3,easy,1,2000,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,11895,63,"Please help me create a travel plan starting from Chicago and ending in Sacramento, spanning 3 days from March 2nd to March 4th, 2022. The budget for this solo journey is set at $2,000."
travelplanner_test_0090,90,Oakland,Eugene,3,easy,1,1100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,13596,69,"Please help me plan a travel itinerary from Oakland to Eugene that lasts for 3 days, from March 18th to March 20th, 2022, with a budget of $1,100."
travelplanner_test_0094,94,Manchester,Philadelphia,3,easy,1,1700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,13377,68,"Can you assist me in mapping out a 3-day voyage from Manchester to Philadelphia occurring between March 19th and March 21st, 2022? I will be traveling alone with a budget of $1,700."
travelplanner_test_0095,95,Detroit,Mosinee,3,easy,1,1100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,13469,74,"Can you help design a travel plan departing from Detroit and heading to Mosinee for 3 days, specifically from March 24th to March 26th, 2022, with a budget of $1,100?"
travelplanner_test_0104,104,Plattsburgh,Fort Lauderdale,3,easy,1,1200,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,13388,65,"Please create a travel plan for one person departing from Plattsburgh to Fort Lauderdale. The trip should last 3 days, from March 25th to March 27th, 2022, and the budget is set at $1,200. There are no specific constraints regarding house rules, cuisine, room types, or transportation."
travelplanner_test_0113,113,Charlotte,Charlotte Amalie,3,easy,1,2500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,13884,70,"Please create a 3-day travel plan for one person leaving from Charlotte and heading to Charlotte Amalie. The journey will be from March 28th to March 30th, 2022, with a budget of $2,500."
travelplanner_test_0119,119,Punta Gorda,Appleton,3,easy,1,1700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,14763,76,"Can you assist in arranging a travel plan from Punta Gorda to Appleton for 3 days, from March 4th to 6th, 2022? It will be a personal trip with a budget of $1,700."
travelplanner_test_0126,126,Providence,North Carolina,5,easy,1,2100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,26572,136,"Could you assist in creating a 5-day travel plan starting in Providence and covering 2 cities in North Carolina from March 13th to March 17th, 2022? The trip is for one person, with an allocated budget of $2,100."
travelplanner_test_0134,134,Trenton,Florida,5,easy,1,4400,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,26490,132,"Can you create a travel plan that begins in Trenton and includes a visit to 2 cities in Florida over a period of 5 days, from March 1st to March 5th, 2022? The budget for this solo trip is set at $4,400."
travelplanner_test_0144,144,Moab,Colorado,5,easy,1,3100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,19307,106,"Could you help me set up a 5-day solitary trip, starting from Moab and heading to two different cities in Colorado, from March 19th to March 23rd, 2022? I have a budget of $3,100 for this trip."
travelplanner_test_0146,146,Richmond,Texas,5,easy,1,2700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,24018,129,"Can you help me create a 5-day travel plan departing from Richmond to visit 2 cities in Texas running from March 22nd through March 26th, 2022? The set budget for this trip is $2,700."
travelplanner_test_0164,164,St. Petersburg,Pennsylvania,5,easy,1,2400,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,27589,145,"Could you assist in creating a 5-day travel itinerary for me? I'll be leaving from St. Petersburg and wish to visit 2 cities in Pennsylvania. The journey is set to start from the 24th of March and end on the 28th of March, 2022. I have a new budget of $2,400. I have no specific preferences or constraints regarding accommodations, cuisines, or transportation."
travelplanner_test_0165,165,Fort Lauderdale,Pennsylvania,5,easy,1,2600,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,29974,152,"Can you create a travel plan for one person that starts in Fort Lauderdale and includes visiting 2 cities in Pennsylvania? The trip is planned for 5 days from March 10th to March 14th, 2022 under a new budget of $2,600."
travelplanner_test_0168,168,Norfolk,Michigan,5,easy,1,2500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,26144,134,"Could you assist me in creating a travel itinerary for a 5-day trip for 1 individual? I plan to depart from Norfolk and visit 2 cities in Michigan from March 1st to March 5th, 2022. My budget for this journey is $2,500."
travelplanner_test_0170,170,Cincinnati,Georgia,5,easy,1,4400,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,28995,155,"Please help me in creating a 5-day travel plan, which starts from Cincinnati and explores 2 cities in Georgia, starting from March 15th to March 19th, 2022. The budget for this solo trip is set to $4,400."
travelplanner_test_0188,188,Eugene,California,5,easy,1,3300,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,27299,140,"Could you provide a 5-day travel itinerary for me starting in Eugene and visiting 2 cities in California from March 12th to March 16th, 2022? The budget for this trip is set at $3,300."
travelplanner_test_0205,205,Tulsa,Georgia,5,easy,1,2600,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,26825,146,"Can you assist me in putting together a 5-day travel plan for an individual departing from Tulsa and visiting 2 cities in Georgia? The trip is scheduled from March 23rd to March 27th, 2022, with a budget of $2,600."
travelplanner_test_0209,209,Palm Springs,Texas,5,easy,1,4100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,32520,175,"Could you create a travel plan for me departing from Palm Springs and heading to Texas for 5 days, with visits to 2 cities, from March 25th to March 29th, 2022? I'm traveling alone and have a budget of $4,100."
travelplanner_test_0210,210,Tampa,Illinois,5,easy,1,3200,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,26296,136,"Please help organize a 5-day travel plan for an individual, departing from Tampa and visiting 2 cities in Illinois. The trip is scheduled for March 15th to March 19th, 2022, with a budget of $3,200."
travelplanner_test_0212,212,Albuquerque,Colorado,5,easy,1,2700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,28513,140,"Could you help design a 5-day travel itinerary from Albuquerque to Colorado covering 2 cities for one person between March 1st and March 5th, 2022, with a maximum expenditure limit of $2,700?"
travelplanner_test_0218,218,Cleveland,Tennessee,5,easy,1,3100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,21932,113,"Could you help me devise a travel plan that starts in Cleveland and includes visits to 2 cities in Tennessee? The travel dates are from March 1st to March 5th, 2022. The trip is for one person with a budget limit of $3,100."
travelplanner_test_0232,232,Minot,Minnesota,5,easy,1,3200,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,19087,107,"Please help me to plan a 5-day solitary travel from Minot and aiming for 2 cities in Minnesota, from March 9th to March 13th, 2022. I have a budget of $3,200 for this trip."
travelplanner_test_0244,244,Atlanta,Pennsylvania,7,easy,1,9500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,42337,217,"Could you please create a 7-day travel plan for one person, starting in Atlanta and visiting 3 different cities in Pennsylvania from March 22nd to March 28th, 2022? The revised budget for the trip is $9,500."
travelplanner_test_0258,258,Dallas,Virginia,7,easy,1,9100,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,41180,217,"Can you please assist in crafting a 7-day travel plan? I'm traveling alone, starting from Dallas and aiming to visit 3 cities in Virginia from March 4th to March 10th, 2022. The budget for this trip is set at $9,100."
travelplanner_test_0262,262,Austin,Tennessee,7,easy,1,4700,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,40123,203,"I need assistance creating a seven-day travel itinerary for one person. The trip will start in Austin and visit three different cities in Tennessee from March 1st through March 7th, 2022. The available budget for this trip is $4,700."
travelplanner_test_0266,266,San Diego,Oregon,7,easy,1,5900,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,39867,202,"Could you assist me in planning a 7-day solo trip from San Diego to Oregon spanning from March 6th to March 12th, 2022? I plan to visit 3 different cities during my travel. My budget for the entire duration of the trip is $5,900."
travelplanner_test_0268,268,Detroit,Minnesota,7,easy,1,5800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,3,39956,211,"Can you help me with a 7-day travel plan for a solo trip, starting from Detroit and covering 3 cities in Minnesota from March 20th to March 26th, 2022? The total budget for this trip is $5,800."
